'em	ah m #1
probes	p r ow b z
problem	p r aa b l ah m #1
problems	p r aa b l ah m z
procaine	p r ow k ey n
procedure	p r ah s iy jh er
proceeding	p r ow s iy d ih ng
proceeds	p r ow s iy d z
process	p r aa s eh s #1
processed	p r aa s eh s t
processes	p r aa s eh s ih z
processing	p r aa s eh s ih ng
produce	p r ow d uw s #1
produced	p r ow d uw s t
product	p r aa d ah k t #1
production	p r ah d ah k sh ih n
products	p r aa d ah k t s
profession	p r ah f eh sh ih n #1
professional	p r ah f eh sh ih n l
profit	p r aa f ih t #1
profits	p r aa f ih t s
program	p r ow g r ae m #1
programs	p r ow g r ae m z
progress	p r aa g r eh s
progression	p r ah g r eh sh ih n
projected	p r aa jh eh k t ih d
project~n	p r aa jh eh k t #1
project~v	p r ah jh eh k t
projects	p r aa jh eh k t s
prominent	p r aa m ah n ih n t
promote	p r ah m ow t
prompted	p r aa m p t ih d
promptly	p r aa m p t l iy
pronoun	p r ow n aw n
pronunciation	p r ah n ah n s iy ey sh ih n
proof	p r uw f
proper	p r aa p er #1
properly	p r aa p er l iy
properties	p r aa p er t iy z
property	p r aa p er t iy #1
prophets	p r aa f ah t s
proposed	p r ah p ow z d
propriety	p r ah p r ay ah t iy
props	p r aa p s
prose	p r ow z
prospect	p r aa s p eh k t
prospective	p r ah s p eh k t ih v
protected	p r ah t eh k t ih d
protection	p r ah t eh k sh ih n
protects	p r ah t eh k t s
protein	p r ow t iy n
protests	p r ow t eh s t s
proud	p r aw d
prove	p r uw v #1
proved	p r uw v d
proven	p r uw v ah n
provide	p r ah v ay d #1
provided	p r ah v ay d ih d
provides	p r ah v ay d z
provisions	p r ah v ih sh ih n z
provocatively	p r ah v aa k ih t ih v l iy
provoked	p r ah v ow k t
prowler	p r aw l er
psychiatrist	s ay k ay ah t r ih s t
psychical	s ay k ih k l
psychological	s ay k ah l aa jh ih k l
psychologically	s ay k ah l aa jh ih k ah l iy
psychopath	s ay k ow p ae th
public	p ah b l ih k
publicity	p ah b l ih s ih t iy
published	p ah b l ih sh t
pull	p uh l #1
pulled	p uh l d
pulling	p uh l ih ng
pulsing	p ah l s ih ng
pummeled	p ah m l d
pumped	p ah m p t
pumps	p ah m p s
punch	p ah n ch
puncturing	p ah ng k ch er ih ng
pungent	p ah n jh ih n t
punish	p ah n ih sh #1
punishes	p ah n ih sh ih z
punishment	p ah n ih sh m ah n t
puny	p y uw n iy
puppets	p ah p ah t s
purchase	p er ch ih s #1
purchased	p er ch ih s t
purchasers	p er ch ih s er z
pure	p y uh r #1
puree	p y uh r ey
purists	p y uh r ih s t s
purple	p er p l
purpose	p er p ah s #1
purposeless	p er p ah s l ah s
purposely	p er p ah s l iy
pursed	p er s t
pursued	p er s uw d
pursuing	p er s uw ih ng
push	p uh sh #1
push-ups	p uh sh ah p s
put	p uh t
puzzlement	p ah z l m ah n t
puzzling	p ah z l ih ng
quackery	k w ae k er iy
quality	k w aa l ih t iy
quarrel	k w aa r l #1
quarrels	k w aa r l z
quarter	k w aa r t er #1
quarter-century-old	k w aa r t er s eh n ch er iy ow l d
quarter-inch	k w aa r t er ih n ch
quarters	k w aa r t er z
queen	k w iy n
querulous	k w eh r l ah s
question	k w eh s ch ih n #1
questions	k w eh s ch ih n z
quick	k w ih k #1
quickly	k w ih k l iy
quieted	k w ay ih t ih d
quietly	k w ay ih t l iy
quince	k w ih n s
quite	k w ay t
quote	k w ow t
rabbit	r ae b ih t #1
rabbits	r ae b ih t s
rabies	r ey b iy z
raccoons	r ae k uw n z
race	r ey s #1
rachel's	r ey ch l z
racing	r ey s ih ng
rack	r ae k #1
racy	r ey s iy
radar	r ey d aa r
radiated	r ey d iy ey t ih d
radiation	r ey d iy ey sh ih n
radicalism	r ae d ih k l ih z m
radio	r ey d iy ow #1
radioactive	r ey d iy ow ae k t ih v #1
radioactivity	r ey d iy ow ae k t ih v ah t iy
radiosterilization	r ey d iy ow s t eh r l ay z ey sh ih n
rag	r ae g #1
rags	r ae g z
rail	r ey l #1
railroad	r ey l r ow d
rain	r ey n #1
raindrops	r ey n d r aa p s
rains	r ey n z
raisers	r ey z er z
raisins	r ey z n z
raked	r ey k t
ralph	r ae l f
ramifications	r ae m ah f ah k ey sh ih n z
ran	r ae n #1
ranch	r ae n ch
random	r ae n d ah m
rang	r ae ng
range	r ey n jh
rape	r ey p
rapid	r ae p ih d
rapidly	r ae p ah d l iy
rare	r ae r #1
rarely	r ae r l iy
rasped	r ae s p t
rate	r ey t #1
rated	r ey t ih d
rates	r ey t s
rather	r ae dh er
rating	r ey t ih ng
rationalize	r ae sh ih n l ay z
rationing	r ae sh ih n ih ng
rattled	r ae t l d
rattlesnake	r ae t l s n ey k
raw	r aa #1
ray	r ey #1
reach	r iy ch #1
reached	r iy ch t
reaction	r iy ae k sh ih n
reader	r iy d er
readiness	r eh d ih n ih s
reading	r iy d ih ng
reads	r iy d z
ready	r eh d iy
read~v_past	r eh d #1
read~v_pres	r iy d #1
real	r iy l #1
realism	r iy l ih z m
realistic	r iy l ih s t ih k
reality	r iy ae l ih t iy
realization	r iy l ah z ey sh ih n
realize	r iy l ay z #1
realizing	r iy l ay z ih ng
really	r iy l iy
rearrange	r iy ah r ey n jh
reason	r iy z n #1
reasonable	r iy z n ah b l #1
reasonably	r iy z n ah b l iy
reasons	r iy z n z
reassurance	r iy ah sh uh r ih n s
reassure	r iy ah sh uh r #1
reassuring	r iy ah sh uh r ih ng
recall	r ih k aa l #1
recalled	r ih k aa l d
received	r ih s iy v d
receiving	r ih s iy v ih ng
recent	r iy s n t #1
recently	r iy s n t l iy
receptacle	r ih s eh p t ih k l
reception	r ih s eh p sh ih n
recognition	r eh k ah g n ih sh ih n
recognize	r eh k ah g n ay z #1
recognized	r eh k ah g n ay z d
recoiled	r ih k oy l d
recommendation	r eh k ah m eh n d ey sh ih n
recommended	r eh k ah m eh n d ih d
reconnaissance	r ih k aa n ih z ih n s
reconsider	r iy k ih n s ih d er #1
reconsidered	r iy k ih n s ih d er d
record	r eh k er d #1
records	r eh k er d z
recreation	r eh k r iy ey sh ih n
recriminations	r ah k r ih m ih n ey sh ih n z
rector	r eh k t er
recuperating	r ih k uw p er ey t ih ng
red	r eh d #2
red-handed	r eh d hh ae n d ih d
redcoats	r eh d k ow t s
redecorating	r iy d eh k er ey t ih ng
redeposition	r iy d eh p ah z ih sh ih n
redheads	r eh d hh eh d z
redoubled	r ah d ah b l d
reduced	r ih d uw s t
reducing	r ih d uw s ih ng
reduction	r ih d ah k sh ih n
redwoods	r eh d w uh d z
reference	r eh f er n s
referred	r ih f er d
reflect	r ih f l eh k t #1
reflects	r ih f l eh k t s
reflexes	r iy f l eh k s ih z
reform	r ih f aa r m
refrigerator	r ih f r ih jh er ey t er
refund	r iy f ah n d
refurbishing	r ih f er b ih sh ih ng
refusal	r ih f y uw z l
refuse	r ih f y uw z #1
refused	r ih f y uw z d
regard	r ih g aa r d #1
regarding	r ih g aa r d ih ng
regenerating	r iy jh eh n er ey t ih ng
regret	r ih g r eh t
regular	r eh g y uh l er #1
regulars	r eh g y uh l er z
regulations	r eh g y uh l ey sh ih n z
regulative	r eh g y uh l ah t ih v
rehabilitation	r iy hh ah b ih l ih t ey sh ih n
reinforce	r iy ih n f aa r s
rejected	r ih jh eh k t ih d
related	r ih l ey t ih d
relationship	r ih l ey sh ih n sh ih p
relatively	r eh l ih t ih v l iy
relaxed	r ih l ae k s t
release	r ih l iy s #1
released	r ih l iy s t
relief	r ih l iy f
relieved	r ih l iy v d
relieving	r ih l iy v ih ng
religion	r ih l ih jh ih n
relinquishing	r ih l ih ng k w ih sh ih ng
relish	r eh l ih sh
rely	r ih l ay
remain	r ih m ey n #1
remained	r ih m ey n d
remaining	r ih m ey n ih ng
remains	r ih m ey n z
remember	r ih m eh m b er #1
remembered	r ih m eh m b er d
remembers	r ih m eh m b er z
remembrance	r ih m eh m b r ih n s
reminded	r ih m ay n d ih d
reminds	r ih m ay n d z
reminiscence	r eh m ah n ih s ih n s
remote	r ih m ow t
removal	r ih m uw v l
remove	r ih m uw v #1
rent	r eh n t #1
rented	r eh n t ih d
renunciation	r ih n ah n s iy ey sh ih n
reorganization	r iy aa r g ih n ay z ey sh ih n
repainted	r ih p ey n t ih d
repainting	r ih p ey n t ih ng
repeat	r ih p iy t #1
repeated	r ih p iy t ih d
repetition	r eh p ah t ih sh ih n
replace	r ih p l ey s #1
replaced	r ih p l ey s t
replenish	r ih p l eh n ih sh
replied	r ih p l ay d
reply	r ih p l ay #1
report	r ih p aa r t #1
reported	r ih p aa r t ih d
reporters	r ih p aa r t er z
reportorial	r eh p er t aa r iy l
reports	r ih p aa r t s
represent	r eh p r iy z eh n t #1
representation	r eh p r iy z eh n t ey sh ih n
represented	r eh p r iy z eh n t ih d
represents	r eh p r iy z eh n t s
reproduce	r iy p r ah d uw s
reptiles	r eh p t l z
repugnant	r ih p ah g n ih n t
requests	r ih k w eh s t s
required	r ih k w ay er d
requirements	r ih k w ay er m ah n t s
requires	r ih k w ay er z
rescue	r eh s k y uw
research	r iy s er ch
resemble	r ih z eh m b l
reserved	r ih z er v d
residential	r eh z ih d eh n ch l
resides	r ih z ay d z
residues	r eh z ih d uw z
resin	r eh z ih n #1
resin-saturated	r eh z ih n s ae ch uh r ey t ih d
resistance	r ih z ih s t ih n s
resolute	r eh z ah l uw t
resolution	r eh z ah l uw sh ih n
resolved	r ih z aa l v d
respect	r ih s p eh k t #1
respected	r ih s p eh k t ih d
response	r ih s p aa n s #1
responsibility	r ih s p aa n s ih b ih l ih t iy
responsible	r ih s p aa n s ih b l
responsively	r ih s p aa n s ih v l iy
rest	r eh s t
restricted	r ih s t r ih k t ih d
result	r ih z ah l t #1
resulted	r ih z ah l t ih d
results	r ih z ah l t s
resumed	r ih z uw m d
retaliatory	r ih t ae l ih t aa r iy
retinal	r eh t ih n l
retire	r ih t ay er #1
retired	r ih t ay er d
retirement	r ih t ay er m ah n t
retires	r ih t ay er z
retouching	r ih t ah ch ih ng
retracted	r ih t r ae k t ih d
retribution	r eh t r ah b y uw sh ih n
return	r ih t er n
reupholstering	r ih ah p hh ow l s t er ih ng
revealed	r ih v iy l d
revealing	r ih v iy l ih ng
revenge	r ih v eh n jh
revenues	r eh v ah n uw z
reverberated	r ih v er b er ey t ih d
review	r ih v y uw #1
reviewers	r ih v y uw er z
revised	r ih v ay z d
revolution	r eh v ah l uw sh ih n
revolving	r ih v aa l v ih ng
revulsion	r ih v ah l sh ih n
rewarded	r ih w aa r d ih d
rewrite	r ih r ay t
rhinoceros	r ay n aa s er ah s
rhubarb	r uw b aa r b
rhythm	r ih dh m #1
rhythmically	r ih dh m ih k l iy
ribbons	r ih b ih n z
rice	r ay s
rich	r ih ch #1
rickety	r ih k ih t iy
ride	r ay d #1
rides	r ay d z
ridge	r ih jh #1
ridiculously	r ah d ih k y uh l ah s l iy
riding	r ay d ih ng
rifle	r ay f l #1
rifleman	r ay f l m ah n
right	r ay t #1
rights	r ay t s #1
rim	r ih m #1
ringing	r ih ng ih ng
riot	r ay ah t
ripe	r ay p
ripped	r ih p t
ripping	r ih p ih ng
rise	r ay z #1
rising	r ay z ih ng
risks	r ih s k s
rites	r ay t s #2
ritual	r ih ch uw l #1
rituals	r ih ch uw l z
river	r ih v er #1
riverbank	r ih v er b ae ng k
road	r ow d #1
roadway	r ow d w ey
roam	r ow m #1
roast	r ow s t #1
roasts	r ow s t s
rob	r aa b #1
robin	r aa b ih n
rock	r aa k #1
rock-and-roll	r aa k ae n d r ow l
rockets	r aa k ih t s
rocky	r aa k iy
rode	r ow d #2
rods	r aa d z
roger's	r aa jh er z
role	r ow l #1
roleplaying	r ow l p l ey ih ng
roles	r ow l z #1
roll	r ow l #2
rolled	r ow l d
rolls	r ow l z #2
romance	r ow m ae n s
romantic	r ow m ae n t ih k
ron's	r aa n z
roof	r uw f #1
roofs	r uw f s
rooftree	r uw f t r iy
room	r uw m #1
rooms	r uw m z
root	r uw t #1
rootless	r uw t l ah s
ropes	r ow p s
rose	r ow z #1
roses	r ow z z
rosy	r ow z iy
rough	r ah f #1
rough-tough	r ah f t ah f
roulette's	r uw l eh t s
routine	r uw t iy n #1
routinely	r uw t iy n l iy
rove	r ow v
roy	r oy #1
royal	r oy l
rubbed	r ah b d
rubberized	r ah b er ay z d
rubbish	r ah b ih sh
ruffles	r ah f l z
rug	r ah g #1
rugs	r ah g z
ruins	r uw ih n z
rule	r uw l #1
ruled	r uw l d
rules	r uw l z
rumen	r uw m ah n
run	r ah n #1
run-down	r ah n d aw n
running	r ah n ih ng
runs	r ah n z
rural	r uh r l
rushing	r ah sh ih ng
rust	r ah s t
rustling	r ah s l ih ng
sacrifice	s ae k r ih f ay s
sacrificial	s ae k r ah f ih sh l
saddlebags	s ae d l b ae g z
saddled	s ae d l d
sadness	s ae d n ih s
safari	s ah f aa r iy
safe	s ey f #1
safekeeping	s ey f k iy p ih ng
safer	s ey f er
safety	s ey f t iy
saga	s aa g ah
sagging	s ae g ih ng
said	s eh d
sailboat	s ey l b ow t
sailed	s ey l d
sailors	s ey l er z
salad	s ae l ah d #1
salads	s ae l ah d z
salary	s ae l er iy
sale	s ey l #1
salesmanship	s ey l z m ah n sh ih p
salesmen	s ey l z m ah n #1
salt	s aa l t #1
salted	s aa l t ih d
salvation	s ae l v ey sh ih n
same	s ey m
sample	s ae m p l #1
samples	s ae m p l z
sampling	s ae m p l ih ng
sandwich	s ae n d w ih ch
sank	s ae ng k
sarcasm	s aa r k ae z m
sat	s ae t #1
satellites	s ae t ah l ay t s
satirical	s ae t ih r ih k l
satisfaction	s ae t ih s f ae k sh ih n
satisfy	s ae t ih s f ay
saturated	s ae ch uh r ey t ih d
saturday	s ae t er d ey
sauce	s aa s
sauerkraut	s aw er k r aw t
savagely	s ae v ih jh l iy
save	s ey v #1
saved	s ey v d
saw	s aa #1
saws	s aa z
say	s ey #1
saying	s ey ih ng
says	s eh z
scabbard	s k ae b er d
scaffold	s k ae f l d
scalloped	s k aa l ah p t
scalp	s k ae l p
scampered	s k ae m p er d
scar	s k aa r #1
scared	s k ae r d
scarf	s k aa r f
scattered	s k ae t er d
scenery	s iy n er iy
scenes	s iy n z
schedule	s k eh jh l
schnooks	sh n uh k s
scholar	s k aa l er #1
scholars	s k aa l er z
scholastic	s k ah l ae s t ih k
school	s k uw l #1
schools	s k uw l z
schooner	s k uw n er
scientific	s ay ih n t ih f ih k
scientists	s ay ih n t ih s t s
scoop	s k uw p
score	s k aa r #2
scored	s k aa r d
scour	s k aw r #1
scouring	s k aw r ih ng
scout's	s k aw t s
scowled	s k aw l d
scraping	s k r ey p ih ng
scratch	s k r ae ch
scream	s k r iy m
screeched	s k r iy ch t
screen	s k r iy n
screw	s k r uw #1
screwdriver	s k r uw d r ay v er
sculptor	s k ah l p t er
sculpture	s k ah l p ch er
se	s ey #2
sea	s iy #1
seam	s iy m #1
seamstresses	s iy m s t r eh s ih z
sear	s ih r #1
search	s er ch
season	s iy z n #1
seasoning	s iy z n ih ng
seats	s iy t s
seattle	s iy ae t l
second	s eh k ih n d #1
secondary	s eh k ih n d eh r iy
secret	s iy k r ih t
section	s eh k sh ih n
sector	s eh k t er
secularist	s eh k y uh l er ih s t
secured	s ih k y uh r d
security	s ih k y uh r ih t iy
see	s iy #2
seed	s iy d #1
seeds	s iy d z
seeing	s iy ih ng
seeker	s iy k er #1
seekers	s iy k er z
seeking	s iy k ih ng
seem	s iy m #2
seemed	s iy m d
seems	s iy m z
seen	s iy n #1
seismic	s ay z m ih k
seldom	s eh l d ah m
selected	s ah l eh k t ih d
selecting	s ah l eh k t ih ng
selection	s ah l eh k sh ih n #1
selections	s ah l eh k sh ih n z
selective	s ah l eh k t ih v
self	s eh l f #1
self's	s eh l f s #1
self-confident	s eh l f k aa n f ih d ih n t
self-contained	s eh l f k ah n t ey n d
self-deceiving	s eh l f d ih s iy v ih ng
self-sufficiency	s eh l f s ah f ih sh ih n s iy
seller	s eh l er
semi-	s eh m ih #1
semi-heights	s eh m ih hh ay t s
semidrying	s eh m ih d r ay ih ng
senate	s eh n ih t
send	s eh n d #1
sending	s eh n d ih ng
senior	s iy n y er
sense	s eh n s #1
sensibly	s eh n s ih b l iy
sensitive	s eh n s ih t ih v
sensory	s eh n s er iy
sensual	s eh n sh uw l
sentiment	s eh n t ah m ah n t
separate~adj	s eh p r ah t
separate~v	s eh p er ey t
sequoia	s ih k w oy ah
series	s ih r iy z
sermon	s er m ah n
serpent's	s er p ah n t s
serve	s er v #1
served	s er v d
serves	s er v z
service	s er v ah s #1
services	s er v ah s ih z
sesame	s eh s ah m iy
set	s eh t #1
sets	s eh t s
setting	s eh t ih ng
settle	s eh t l
seven	s eh v ah n #1
seventh	s eh v ah n th
seventy	s eh v ah n t iy
several	s eh v er l
severe	s ah v ih r
sew	s ow #1
sewers	s uw er z
sewing	s ow ih ng
sex	s eh k s
sexual	s eh k sh uw l
sexually	s eh k sh uh l iy
shabby	sh ae b iy
shackles	sh ae k l z
shade	sh ey d #1
shadow	sh ae d ow
shady	sh ey d iy
shaft	sh ae f t
shag	sh ae g
shaken	sh ey k ih n
shaker	sh ey k er #1
shakers	sh ey k er z
shaky	sh ey k iy
shall	sh ae l #1
shallowness	sh ae l ow n ih s
shame	sh ey m
shampoo	sh ae m p uw #1
shampooed	sh ae m p uw d
shape	sh ey p #1
shaped	sh ey p t
shapes	sh ey p s
share	sh ae r
sharks	sh aa r k s
sharp	sh aa r p
shattered	sh ae t er d
shaving	sh ey v ih ng
shawls	sh aa l z
shawn	sh aa n
she	sh iy #1
she'd	sh iy d
she's	sh iy z
shed	sh eh d
sheets	sh iy t s
sheik	sh iy k
sheila	sh iy l ah
shell	sh eh l #1
shellfish	sh eh l f ih sh
shelter	sh eh l t er #1
sheltered	sh eh l t er d
shelters	sh eh l t er z
shelves	sh eh l v z
sherbet	sh er b ih t
sheriff	sh eh r ih f #1
sheriff's	sh eh r ih f s
shielding	sh iy l d ih ng
shimmered	sh ih m er d
shimmering	sh ih m er ih ng
shimmers	sh ih m er z
ship	sh ih p #1
ship's	sh ih p s #1
shipbuilding	sh ih p b ih l d ih ng
shipmate	sh ih p m ey t
ships	sh ih p s #2
shipshape	sh ih p sh ey p
shirt	sh er t #1
shirtsleeve	sh er t s l iy v
shivering	sh ih v er ih ng
shock	sh aa k #1
shocked	sh aa k t
shocking	sh aa k ih ng
shocks	sh aa k s
shoelaces	sh uw l ey s ih z
shoes	sh uw z
shone	sh ow n #1
shook	sh uh k
shoot	sh uw t
shop	sh aa p #1
shopkeepers	sh aa p k iy p er z
shore	sh aa r #1
short	sh aa r t #1
shortage	sh aa r t ih jh
shorten	sh aa r t n
shortly	sh aa r t l iy
shot	sh aa t
should	sh uh d
shoulder	sh ow l d er
shouted	sh aw t ih d
shove	sh ah v #1
shovels	sh ah v l z
shoving	sh ah v ih ng
show	sh ow #1
showed	sh ow d
showering	sh aw er ih ng
showers	sh aw er z
showing	sh ow ih ng
shown	sh ow n #2
shows	sh ow z
shrapnel	sh r ae p n l
shredded	sh r eh d ih d
shredder	sh r eh d er
shrieked	sh r iy k t
shrimp	sh r ih m p
shrinking	sh r ih ng k ih ng
shrubs	sh r ah b z
shrugged	sh r ah g d
shrugs	sh r ah g z
shucks	sh ah k s
shuddering	sh ah d er ih ng
shuffle	sh ah f l
shut	sh ah t #1
shutter	sh ah t er
shy	sh ay
siamese	s ay ah m iy z
sick	s ih k #1
side	s ay d #1
sides	s ay d z
sidewinder	s ay d w ay n d er
sigh	s ay #1
sighing	s ay ih ng
sightseers	s ay t s iy er z
sign	s ay n #1
signals	s ih g n l z
signed	s ay n d
significant	s ih g n ih f ih k ah n t
signs	s ay n z
silence	s ay l ah n s
silent	s ay l ah n t
silhouette	s ih l ow eh t
silky	s ih l k iy
silly	s ih l iy
silver	s ih l v er #1
silverware	s ih l v er w ae r
simmer	s ih m er
simple	s ih m p l #1
simpler	s ih m p l er
simplest	s ih m p l ah s t
simply	s ih m p l iy
sin	s ih n #1
since	s ih n s #1
sincere	s ih n s ih r
sincerity	s ih n s eh r ih t iy
sinewy	s ih n y uw iy
sing	s ih ng #1
singer's	s ih ng g er z
single	s ih ng g l #1
single-handed	s ih ng g l hh ae n d ih d
singular	s ih ng g y uh l er
sinuous	s ih n y uw ih s
sinus	s ay n ih s
sir	s er #1
sit	s ih t #1
site	s ay t #1
sitting	s ih t ih ng
situated	s ih ch uw ey t ih d
situation	s ih ch uw ey sh ih n #1
situations	s ih ch uw ey sh ih n z
six	s ih k s #1
sixty	s ih k s t iy #1
sixty-five	s ih k s t iy f ay v
size	s ay z #1
sized	s ay z d
sizzled	s ih z l d
skating	s k ey t ih ng
sketched	s k eh ch t
skewers	s k y uw er z
ski	s k iy #1
skiffs	s k ih f s
skiing	s k iy ih ng
skill	s k ih l #1
skilled	s k ih l d
skills	s k ih l z
skin	s k ih n #1
skinless	s k ih n l ah s
skirmish	s k er m ih sh
skirt	s k er t #1
skirts	s k er t s
sky	s k ay #1
skywave	s k ay w ey v
slammed	s l ae m d
slanted	s l ae n t ih d
slapped	s l ae p t
slash	s l ae sh
slate	s l ey t
slavery	s l ey v er iy
sleep	s l iy p #1
sleepily	s l iy p ah l iy
sleeping	s l iy p ih ng
sleepy	s l iy p iy
sleigh	s l ey #1
slept	s l eh p t
slid	s l ih d
slightly	s l ay t l iy
slip	s l ih p #1
slipped	s l ih p t
slipping	s l ih p ih ng
slips	s l ih p s
slope	s l ow p #1
slopes	s l ow p s
sloppy	s l aa p iy
slovenliness	s l aa v n l iy n ih s
slow	s l ow #1
slowed	s l ow d
slowly	s l ow l iy
sludge	s l ah jh
slug	s l ah g #1
slugging	s l ah g ih ng
sluicing	s l uw s ih ng
slums	s l ah m z
slyly	s l ay l iy
slyness	s l ay n ih s
small	s m aa l
smash	s m ae sh #1
smashed	s m ae sh t
smell	s m eh l #1
smelled	s m eh l d
smile	s m ay l #1
smiled	s m ay l d
smiles	s m ay l z
smiling	s m ay l ih ng
smiths	s m ih th s
smoke	s m ow k
smolderingly	s m ow l d er ih ng l iy
smooth	s m uw dh #1
smoothed	s m uw dh d
smothered	s m ah dh er d
snake	s n ey k #1
snake-rail	s n ey k r ey l
snakes	s n ey k s
snapper	s n ae p er
snapping	s n ae p ih ng
snarled	s n aa r l d
snatched	s n ae ch t
sneezed	s n iy z d
snips	s n ih p s
snow	s n ow #1
snowed	s n ow d
so	s ow #2
so-called	s ow k aa l d
soak	s ow k #1
soaked	s ow k t
sober	s ow b er
social	s ow sh l
socialized	s ow sh ah l ay z d
society	s ih s ay ah t iy
socks	s aa k s
soft	s aa f t #1
softly	s aa f t l iy
soil	s oy l #1
soils	s oy l z
solar	s ow l er
sold	s ow l d
soldiering	s ow l jh er ih ng
soldiers	s ow l jh er z
solicits	s ah l ih s ih t s
solid	s aa l ih d #1
solid-state	s aa l ih d s t ey t
solidarity	s aa l ah d ae r ah t iy
solitary	s aa l ih t eh r iy
solitude	s aa l ih t uw d
solution	s ah l uw sh ih n
solve	s aa l v #1
solved	s aa l v d
solves	s aa l v z
some	s ah m #1
somebody	s ah m b aa d iy #1
somebody'll	s ah m b aa d iy l
somehow	s ah m hh aw
someone	s ah m w ah n
someplace	s ah m p l ey s
something	s ah m th ih ng
sometime	s ah m t ay m #1
sometimes	s ah m t ay m z
somewhat	s ah m hh w aa t
somewhere	s ah m hh w ae r
son	s ah n #1
song	s aa ng #1
songs	s aa ng z
sonic	s aa n ih k
soon	s uw n
soothe	s uw dh #1
soothed	s uw dh d
soothingly	s uw dh ih ng l iy
sophisticated	s ah f ih s t ih k ey t ih d
sophistication	s ah f ih s t ih k ey sh ih n
sorcery	s aa r s er iy
sordid	s aa r d ih d
sorrow	s aa r ow
sorry	s aa r iy
sort	s aa r t
sought	s aa t
soul	s ow l #1
souls	s ow l z
sound	s aw n d #1
sounded	s aw n d ih d
soup	s uw p #1
sour	s aw er #1
source	s aa r s #1
sources	s aa r s ih z
south	s aw th #1
southwest	s aw th w eh s t
soybean	s oy b iy n #1
soybeans	s oy b iy n z
soysauce	s oy s aa s
space	s p ey s #1
spaced	s p ey s t
spade	s p ey d #1
spades	s p ey d z
spanish	s p ae n ih sh
spatial	s p ey sh l
speak	s p iy k #1
speaker	s p iy k er
special	s p eh sh l #1
specialty	s p eh sh l t iy
species	s p iy sh iy z
specific	s p ah s ih f ih k
spectacular	s p eh k t ae k y uh l er
spectator	s p eh k t ey t er #1
spectator-type	s p eh k t ey t er t ay p
speculated	s p eh k y uh l ey t ih d
speculations	s p eh k y uh l ey sh ih n z
speech	s p iy ch
spend	s p eh n d #1
spending	s p eh n d ih ng
spent	s p eh n t
sphere	s f ih r #1
spherical	s f ih r ih k l
spider	s p ay d er
spike	s p ay k
spilled	s p ih l d
spinach	s p ih n ih ch
spirit	s p ih r ih t #1
spirited	s p ih r ih t ih d
spirits	s p ih r ih t s
spiritual	s p ih r ih ch uw l
spit	s p ih t
splashed	s p l ae sh t
splendidly	s p l eh n d ih d l iy
splendor	s p l eh n d er
splinter	s p l ih n t er
splurge	s p l er jh #1
splurged	s p l er jh d
spoilage	s p oy l ih jh
spoiled	s p oy l d
spoke	s p ow k #1
spoken	s p ow k ih n
spokes	s p ow k s
sponges	s p ah n jh ih z
sponsors	s p aa n s er z
sport	s p aa r t #1
sports	s p aa r t s #1
sportsmen	s p aa r t s m ah n
spot	s p aa t #1
spotted	s p aa t ih d
spouted	s p aw t ih d
sprained	s p r ey n d
sprang	s p r ae ng
spray	s p r ey #1
spread	s p r eh d #1
spreader	s p r eh d er
spring	s p r ih ng #1
sprinkling	s p r ih ng k l ih ng
sprouted	s p r aw t ih d
sprouting	s p r aw t ih ng
spun	s p ah n #1
spurious	s p y uh r iy ah s
spurs	s p er z
sputniks	s p ah t n ih k s
square	s k w ae r #1
squared	s k w ae r d
squashy	s k w aa sh iy
squeaked	s k w iy k t
squeamishness	s k w iy m ih sh n ih s
squeezed	s k w iy z d
squelched	s k w eh l ch t
stab	s t ae b
stable	s t ey b l
stacked	s t ae k t
staff	s t ae f
stag	s t ae g #1
stage	s t ey jh
staggered	s t ae g er d
stake	s t ey k #1
stake-out	s t ey k aw t
stampede	s t ae m p iy d
stand	s t ae n d #1
standardized	s t ae n d er d ay z d
standards	s t ae n d er d z
standby	s t ae n d b ay
star	s t aa r #1
starchy	s t aa r ch iy
stared	s t ae r d
start	s t aa r t #1
started	s t aa r t ih d
startling	s t aa r t l ih ng
state	s t ey t #1
statement	s t ey t m ah n t
states	s t ey t s
statue	s t ae ch uw #1
statuesque	s t ae ch uw eh s k
status	s t ae t ih s
statutory	s t ae ch ah t aa r iy
stay	s t ey #1
stayed	s t ey d
steam	s t iy m #1
steaming	s t iy m ih ng
steel	s t iy l
steep	s t iy p
stems	s t eh m z
step	s t eh p #1
steph	s t eh f
stepladders	s t eh p l ae d er z
stepmother	s t eh p m ah dh er
steps	s t eh p s
sterilization	s t eh r l ah z ey sh ih n
steve	s t iy v
stew	s t uw #1
stick	s t ih k
stiffly	s t ih f l iy
still	s t ih l
stimulates	s t ih m y uw l ey t s
stimulating	s t ih m y uw l ey t ih ng
stinging	s t ih ng ih ng
stings	s t ih ng z
stirred	s t er d
stirrin	s t er n
stirrup	s t er ah p #1
stirrup-guard	s t er ah p g aa r d
stock	s t aa k #1
stockings	s t aa k ih ng z
stockroom	s t aa k r uw m
stoicism	s t ow ah s ih z m
stole	s t ow l
stomach	s t ah m ah k
stomped	s t aa m p t
stone	s t ow n #1
stoneware	s t ow n w ae r
stood	s t uh d
stool	s t uw l
stoop	s t uw p #1
stop	s t aa p #1
stopped	s t aa p t
stopping	s t aa p ih ng
stopwatch	s t aa p w aa ch
